Module,Gene,Probes,Module_gene,Function,Cluter,Cluster_location,position
M3.1,SYAP1,2089175,M3.1_SYAP1,Cell cycle,A29,1,A29.1
M3.1,TDP1,2285713,M3.1_TDP1,Cell cycle,A29,1,A29.1
M3.1,TDRD1,2175094,M3.1_TDRD1,Cell cycle,A29,1,A29.1
M3.1,TNFSF15,2106380,M3.1_TNFSF15,Cell cycle,A29,1,A29.1
M3.1,TRIM13,2262275,M3.1_TRIM13,Cell cycle,A29,1,A29.1
M3.1,USP49,1680279,M3.1_USP49,Cell cycle,A29,1,A29.1
M3.1,VPS41,2383107,M3.1_VPS41,Cell cycle,A29,1,A29.1
M3.1,WDR74,2270845,M3.1_WDR74,Cell cycle,A29,1,A29.1
M3.1,XRCC2,2204909,M3.1_XRCC2,Cell cycle,A29,1,A29.1
M3.1,YRDC,1736008,M3.1_YRDC,Cell cycle,A29,1,A29.1
M3.1,ZADH1,2105253,M3.1_ZADH1,Cell cycle,A29,1,A29.1
M3.1,ZNF14,1692145,M3.1_ZNF14,Cell cycle,A29,1,A29.1
M3.1,ZNF223,1815578,M3.1_ZNF223,Cell cycle,A29,1,A29.1
M3.1,ZNF483,2279834,M3.1_ZNF483,Cell cycle,A29,1,A29.1
M3.1,ZNF486,1805668,M3.1_ZNF486,Cell cycle,A29,1,A29.1
M3.1,ZNF557,2346137,M3.1_ZNF557,Cell cycle,A29,1,A29.1
M3.1,ZNF577,2212823,M3.1_ZNF577,Cell cycle,A29,1,A29.1
M3.1,ZNF652,2155322,M3.1_ZNF652,Cell cycle,A29,1,A29.1
M3.1,ZNF669,2093748,M3.1_ZNF669,Cell cycle,A29,1,A29.1
M3.1,ZNF682,2313889,M3.1_ZNF682,Cell cycle,A29,1,A29.1
M3.1,ZNF69,2176882,M3.1_ZNF69,Cell cycle,A29,1,A29.1
M3.1,ZNF786,1713706,M3.1_ZNF786,Cell cycle,A29,1,A29.1
M8.1,AHR,1812640,M8.1_AHR,TBD,A29,4,A29.4
M8.1,AIRE,2261519,M8.1_AIRE,TBD,A29,4,A29.4
M8.1,BIRC3,2405684,M8.1_BIRC3,TBD,A29,4,A29.4
M8.1,C14ORF85,2134381,M8.1_C14ORF85,TBD,A29,4,A29.4
M8.1,C21ORF24,2211724,M8.1_C21ORF24,TBD,A29,4,A29.4
M8.1,C21ORF55,1814204,M8.1_C21ORF55,TBD,A29,4,A29.4
M8.1,C3ORF34,2288483,M8.1_C3ORF34,TBD,A29,4,A29.4
M8.1,C8ORF37,2091084,M8.1_C8ORF37,TBD,A29,4,A29.4
M8.1,C9ORF80,2079098,M8.1_C9ORF80,TBD,A29,4,A29.4
M8.1,CDAN1,2401906,M8.1_CDAN1,TBD,A29,4,A29.4
M8.1,CDKN2AIPNL,2130078,M8.1_CDKN2AIPNL,TBD,A29,4,A29.4
M8.1,CREB1,2334242,M8.1_CREB1,TBD,A29,4,A29.4
M8.1,EID2B,2051900,M8.1_EID2B,TBD,A29,4,A29.4
M8.1,FAM115A,2297069,M8.1_FAM115A,TBD,A29,4,A29.4
M8.1,FAM119A,2049364,M8.1_FAM119A,TBD,A29,4,A29.4
M8.1,FCAR,2279367,M8.1_FCAR,TBD,A29,4,A29.4
M8.1,FKTN,2357386,M8.1_FKTN,TBD,A29,4,A29.4
M8.1,FLJ46309,2194852,M8.1_FLJ46309,TBD,A29,4,A29.4
M8.1,GJC1,2397484,M8.1_GJC1,TBD,A29,4,A29.4
M8.1,GRIPAP1,2235745,M8.1_GRIPAP1,TBD,A29,4,A29.4
M8.1,HCG2P7,2091123,M8.1_HCG2P7,TBD,A29,4,A29.4
M8.1,IL18,1778457,M8.1_IL18,TBD,A29,4,A29.4
M8.1,KCNH6,2235785,M8.1_KCNH6,TBD,A29,4,A29.4
M8.1,LILRB1,2316974,M8.1_LILRB1,TBD,A29,4,A29.4
M8.1,LOC399900,1701314,M8.1_LOC399900,TBD,A29,4,A29.4
M8.1,LOC440704,1673421,M8.1_LOC440704,TBD,A29,4,A29.4
M8.1,LOC441087,1742163,M8.1_LOC441087,TBD,A29,4,A29.4
M8.1,LOC642947,2049343,M8.1_LOC642947,TBD,A29,4,A29.4
M8.1,LOC645895,1711156,M8.1_LOC645895,TBD,A29,4,A29.4
M8.1,LOC647389,1784554,M8.1_LOC647389,TBD,A29,4,A29.4
M8.1,LOC653086,1814039,M8.1_LOC653086,TBD,A29,4,A29.4
M8.1,LOC653489,1711073,M8.1_LOC653489,TBD,A29,4,A29.4
M8.1,LOC729603,2180519,M8.1_LOC729603,TBD,A29,4,A29.4
M8.1,LOC90586,2219618,M8.1_LOC90586,TBD,A29,4,A29.4
M8.1,LRAP,2123312,M8.1_LRAP,TBD,A29,4,A29.4
M8.1,MBD4,2055310,M8.1_MBD4,TBD,A29,4,A29.4
M8.1,MGC29891,2161007,M8.1_MGC29891,TBD,A29,4,A29.4
M8.1,PDE4C,1761277,M8.1_PDE4C,TBD,A29,4,A29.4
M8.1,PNPT1,2051408,M8.1_PNPT1,TBD,A29,4,A29.4
M8.1,RCP9,2381537,M8.1_RCP9,TBD,A29,4,A29.4
M8.1,RPL7L1,2220320,M8.1_RPL7L1,TBD,A29,4,A29.4
M8.1,SDHALP1,1750093,M8.1_SDHALP1,TBD,A29,4,A29.4
M8.1,SHROOM4,2206188,M8.1_SHROOM4,TBD,A29,4,A29.4
M8.1,SLC16A12,2180929,M8.1_SLC16A12,TBD,A29,4,A29.4
M8.1,SLC44A4,2274775,M8.1_SLC44A4,TBD,A29,4,A29.4
M8.1,SULT1A1,2404795,M8.1_SULT1A1,TBD,A29,4,A29.4
M8.1,TMEM17,2210386,M8.1_TMEM17,TBD,A29,4,A29.4
M8.1,ZMAT3,2361104,M8.1_ZMAT3,TBD,A29,4,A29.4
M8.1,ZNF394,2115949,M8.1_ZNF394,TBD,A29,4,A29.4
M8.1,ZNF430,2158164,M8.1_ZNF430,TBD,A29,4,A29.4
M8.1,ZNF549,2227495,M8.1_ZNF549,TBD,A29,4,A29.4
M8.2,ABCC3,1789627,M8.2_ABCC3,Prostanoids,A34,4,A34.4
M8.2,ABLIM3,1677814,M8.2_ABLIM3,Prostanoids,A34,4,A34.4
M8.2,ALOX12,1656940,M8.2_ALOX12,Prostanoids,A34,4,A34.4
M8.2,AQP10,1713731,M8.2_AQP10,Prostanoids,A34,4,A34.4
M8.2,C6ORF21,2090004,M8.2_C6ORF21,Prostanoids,A34,4,A34.4
M8.2,C7ORF41,1783158,M8.2_C7ORF41,Prostanoids,A34,4,A34.4
M8.2,CALD1,1672605,M8.2_CALD1,Prostanoids,A34,4,A34.4
M8.2,CMTM5,1730487,M8.2_CMTM5,Prostanoids,A34,4,A34.4
M8.2,CTDSPL,1775373,M8.2_CTDSPL,Prostanoids,A34,4,A34.4
M8.2,CTTN,2392189,M8.2_CTTN,Prostanoids,A34,4,A34.4
M8.2,ESAM,1744912,M8.2_ESAM,Prostanoids,A34,4,A34.4
M8.2,F13A1,1668092,M8.2_F13A1,Prostanoids,A34,4,A34.4
M8.2,GNG11,1717163,M8.2_GNG11,Prostanoids,A34,4,A34.4
M8.2,GP9,1782419,M8.2_GP9,Prostanoids,A34,4,A34.4
M8.2,GUCY1A3,1743290,M8.2_GUCY1A3,Prostanoids,A34,4,A34.4
M8.2,HS.552264,1808590,M8.2_HS.552264,Prostanoids,A34,4,A34.4
M8.2,ITGA2B,1916864,M8.2_ITGA2B,Prostanoids,A34,4,A34.4
M8.2,ITGB3,1721888,M8.2_ITGB3,Prostanoids,A34,4,A34.4
M8.2,ITGB5,1668374,M8.2_ITGB5,Prostanoids,A34,4,A34.4
M8.2,JAM3,2311166,M8.2_JAM3,Prostanoids,A34,4,A34.4
M8.2,MPL,1769575,M8.2_MPL,Prostanoids,A34,4,A34.4
M8.2,MYL9,1776640,M8.2_MYL9,Prostanoids,A34,4,A34.4
M8.2,NRGN,1675062,M8.2_NRGN,Prostanoids,A34,4,A34.4
M8.2,PARVB,1705686,M8.2_PARVB,Prostanoids,A34,4,A34.4
M8.2,PDE5A,1787919,M8.2_PDE5A,Prostanoids,A34,4,A34.4
M8.2,PPBP,1810836,M8.2_PPBP,Prostanoids,A34,4,A34.4
M8.2,PROS1,1767281,M8.2_PROS1,Prostanoids,A34,4,A34.4
M8.2,PTGS1,1671928,M8.2_PTGS1,Prostanoids,A34,4,A34.4
M8.2,PVALB,2339835,M8.2_PVALB,Prostanoids,A34,4,A34.4
M8.2,5-Sep,2069224,M8.2_SEPT5,Prostanoids,A34,4,A34.4
M8.2,SH3BGRL2,1762764,M8.2_SH3BGRL2,Prostanoids,A34,4,A34.4
M8.2,TNFSF4,2089875,M8.2_TNFSF4,Prostanoids,A34,4,A34.4
M8.2,TREML1,1690783,M8.2_TREML1,Prostanoids,A34,4,A34.4
M8.2,TSPAN33,1749403,M8.2_TSPAN33,Prostanoids,A34,4,A34.4
M8.2,TSPAN9,1729453,M8.2_TSPAN9,Prostanoids,A34,4,A34.4
M8.2,VWF,1752755,M8.2_VWF,Prostanoids,A34,4,A34.4
M8.3,EPSTI1,2388547,M8.3_EPSTI1,Type 1 Interferon,A28,6,A28.6
M8.3,HERC5,1729749,M8.3_HERC5,Type 1 Interferon,A28,6,A28.6
M8.3,HES4,1653466,M8.3_HES4,Type 1 Interferon,A28,6,A28.6
M8.3,IFI44,1760062,M8.3_IFI44,Type 1 Interferon,A28,6,A28.6
M8.3,IFI44L,1723912,M8.3_IFI44L,Type 1 Interferon,A28,6,A28.6
M8.3,IFI6,2347798,M8.3_IFI6,Type 1 Interferon,A28,6,A28.6
M8.3,IFIT1,1707695,M8.3_IFIT1,Type 1 Interferon,A28,6,A28.6
M8.3,IFIT3,2239754,M8.3_IFIT3,Type 1 Interferon,A28,6,A28.6
M8.3,ISG15,2054019,M8.3_ISG15,Type 1 Interferon,A28,6,A28.6
M8.3,LY6E,1695404,M8.3_LY6E,Type 1 Interferon,A28,6,A28.6
M8.3,MX1,1662358,M8.3_MX1,Type 1 Interferon,A28,6,A28.6
M8.3,OAS1,1675640,M8.3_OAS1,Type 1 Interferon,A28,6,A28.6
M8.3,OAS2,1674063,M8.3_OAS2,Type 1 Interferon,A28,6,A28.6
M8.3,OAS3,1745397,M8.3_OAS3,Type 1 Interferon,A28,6,A28.6
M8.3,OASL,1674811,M8.3_OASL,Type 1 Interferon,A28,6,A28.6
M8.3,RSAD2,1657871,M8.3_RSAD2,Type 1 Interferon,A28,6,A28.6
M8.3,XAF1,2370573,M8.3_XAF1,Type 1 Interferon,A28,6,A28.6
M9.1,CCL4L2,1716276,M9.1_CCL4L2,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,CD160,1742001,M9.1_CD160,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,CLIC3,1796423,M9.1_CLIC3,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,EDG8,2073184,M9.1_EDG8,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,EOMES,1760509,M9.1_EOMES,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,FGFBP2,1761945,M9.1_FGFBP2,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,GNLY,1708779,M9.1_GNLY,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,GPR56,2352097,M9.1_GPR56,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,GZMA,1779324,M9.1_GZMA,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,GZMB,2109489,M9.1_GZMB,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,GZMH,1731233,M9.1_GZMH,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,HOPX,2316236,M9.1_HOPX,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,IL2RB,1684349,M9.1_IL2RB,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,KIR2DL3,1667232,M9.1_KIR2DL3,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,KIR2DL4,1739756,M9.1_KIR2DL4,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,KIR3DL1,2131828,M9.1_KIR3DL1,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,KLRC1,2384140,M9.1_KLRC1,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,KLRC3,2386790,M9.1_KLRC3,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,KLRD1,1797988,M9.1_KLRD1,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,KLRF1,2055781,M9.1_KLRF1,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,NKG7,1682993,M9.1_NKG7,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,PLEKHF1,1708041,M9.1_PLEKHF1,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,PPP2R2B,1660732,M9.1_PPP2R2B,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,PRF1,1740633,M9.1_PRF1,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,PTGDR,2062714,M9.1_PTGDR,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,SH2D1B,1701237,M9.1_SH2D1B,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,TGFBR3,1784287,M9.1_TGFBR3,Cytotoxic lymphocytes,A2,1,A2.1
M9.1,ZNF683,1678238,M9.1_ZNF683,Cytotoxic lymphocytes,A2,1,A2.1
M9.2,8-Mar,2336335,M9.2_MARCH8,Erythrocytes,A37,1,A37.1
M9.2,ALAS2,2271875,M9.2_ALAS2,Erythrocytes,A37,1,A37.1
M9.2,BCL2L1,1742410,M9.2_BCL2L1,Erythrocytes,A37,1,A37.1
M9.2,BPGM,2352921,M9.2_BPGM,Erythrocytes,A37,1,A37.1
M9.2,C14ORF45,1806456,M9.2_C14ORF45,Erythrocytes,A37,1,A37.1
M9.2,C1ORF128,1784207,M9.2_C1ORF128,Erythrocytes,A37,1,A37.1
M9.2,CA1,1652431,M9.2_CA1,Erythrocytes,A37,1,A37.1
M9.2,EPB42,1814397,M9.2_EPB42,Erythrocytes,A37,1,A37.1
M9.2,FAM46C,1713266,M9.2_FAM46C,Erythrocytes,A37,1,A37.1
M9.2,FECH,1774091,M9.2_FECH,Erythrocytes,A37,1,A37.1
M9.2,GMPR,1729487,M9.2_GMPR,Erythrocytes,A37,1,A37.1
M9.2,GPR146,1684227,M9.2_GPR146,Erythrocytes,A37,1,A37.1
M9.2,GYPB,1683093,M9.2_GYPB,Erythrocytes,A37,1,A37.1
M9.2,GYPE,1695187,M9.2_GYPE,Erythrocytes,A37,1,A37.1
M9.2,IFIT1L,1759155,M9.2_IFIT1L,Erythrocytes,A37,1,A37.1
M9.2,KRT1,1735712,M9.2_KRT1,Erythrocytes,A37,1,A37.1
M9.2,NFIX,1694325,M9.2_NFIX,Erythrocytes,A37,1,A37.1
M9.2,OR2W3,1811927,M9.2_OR2W3,Erythrocytes,A37,1,A37.1
M9.2,OSBP2,1781966,M9.2_OSBP2,Erythrocytes,A37,1,A37.1
M9.2,PLEK2,1811470,M9.2_PLEK2,Erythrocytes,A37,1,A37.1
M9.2,SELENBP1,1680652,M9.2_SELENBP1,Erythrocytes,A37,1,A37.1
M9.2,SLC14A1,1805561,M9.2_SLC14A1,Erythrocytes,A37,1,A37.1
M9.2,SLC4A1,1772809,M9.2_SLC4A1,Erythrocytes,A37,1,A37.1
M9.2,SNCA,1766165,M9.2_SNCA,Erythrocytes,A37,1,A37.1
M9.2,TMCC2,1659024,M9.2_TMCC2,Erythrocytes,A37,1,A37.1
M9.2,TMOD1,1736911,M9.2_TMOD1,Erythrocytes,A37,1,A37.1
M9.2,TNS1,1807919,M9.2_TNS1,Erythrocytes,A37,1,A37.1
M9.2,TRIM10,1746788,M9.2_TRIM10,Erythrocytes,A37,1,A37.1
M9.2,TUBB2A,2038775,M9.2_TUBB2A,Erythrocytes,A37,1,A37.1
M9.2,XK,1759117,M9.2_XK,Erythrocytes,A37,1,A37.1
M10.1,DDX58,1797001,M10.1_DDX58,Interferon,A28,1,A28.1
M10.1,DDX60,1795181,M10.1_DDX60,Interferon,A28,1,A28.1
M10.1,DHX58,1678422,M10.1_DHX58,Interferon,A28,1,A28.1
M10.1,FBXO6,1701455,M10.1_FBXO6,Interferon,A28,1,A28.1
M10.1,GBP1,1701114,M10.1_GBP1,Interferon,A28,1,A28.1
M10.1,GBP4,1771385,M10.1_GBP4,Interferon,A28,1,A28.1
M10.1,GBP5,2114568,M10.1_GBP5,Interferon,A28,1,A28.1
M10.1,IFI35,1745374,M10.1_IFI35,Interferon,A28,1,A28.1
M10.1,IFIH1,1781373,M10.1_IFIH1,Interferon,A28,1,A28.1
M10.1,IFIT2,1739428,M10.1_IFIT2,Interferon,A28,1,A28.1
M10.1,IFIT5,1696654,M10.1_IFIT5,Interferon,A28,1,A28.1
M10.1,IRF7,2349061,M10.1_IRF7,Interferon,A28,1,A28.1
M10.1,LAP3,1683792,M10.1_LAP3,Interferon,A28,1,A28.1
M10.1,OAS2,2248970,M10.1_OAS2,Interferon,A28,1,A28.1
M10.1,PARP12,1718558,M10.1_PARP12,Interferon,A28,1,A28.1
M10.1,PARP14,1691731,M10.1_PARP14,Interferon,A28,1,A28.1
M10.1,SAMD9L,1799467,M10.1_SAMD9L,Interferon,A28,1,A28.1
M10.1,SCO2,1701621,M10.1_SCO2,Interferon,A28,1,A28.1
M10.1,STAT1,1777325,M10.1_STAT1,Interferon,A28,1,A28.1
M10.1,TRIM22,1779252,M10.1_TRIM22,Interferon,A28,1,A28.1
M10.1,ZBP1,1765994,M10.1_ZBP1,Interferon,A28,1,A28.1
M10.2,C19ORF31,2233279,M10.2_C19ORF31,Protein synthesis,A9,1,A9.1
M10.2,CLUAP1,2242491,M10.2_CLUAP1,Protein synthesis,A9,1,A9.1
M10.2,EEF1A1,1343291,M10.2_EEF1A1,Protein synthesis,A9,1,A9.1
M10.2,F2R,2221507,M10.2_F2R,Protein synthesis,A9,1,A9.1
M10.2,FTL,1740429,M10.2_FTL,Protein synthesis,A9,1,A9.1
M10.2,H3F3A,1656082,M10.2_H3F3A,Protein synthesis,A9,1,A9.1
M10.2,HBA2,1667796,M10.2_HBA2,Protein synthesis,A9,1,A9.1
M10.2,HBB,2100437,M10.2_HBB,Protein synthesis,A9,1,A9.1
M10.2,IMAA,2234515,M10.2_IMAA,Protein synthesis,A9,1,A9.1
M10.2,LAIR1,2389211,M10.2_LAIR1,Protein synthesis,A9,1,A9.1
M10.2,LOC388720,1754990,M10.2_LOC388720,Protein synthesis,A9,1,A9.1
M10.2,OAZ1,1773080,M10.2_OAZ1,Protein synthesis,A9,1,A9.1
M10.2,RPL41,2331890,M10.2_RPL41,Protein synthesis,A9,1,A9.1
M10.2,RPS12,1782621,M10.2_RPS12,Protein synthesis,A9,1,A9.1
M10.2,RPS27,1660498,M10.2_RPS27,Protein synthesis,A9,1,A9.1
M10.2,TMSB4X,1683271,M10.2_TMSB4X,Protein synthesis,A9,1,A9.1
M10.2,TPT1,2094718,M10.2_TPT1,Protein synthesis,A9,1,A9.1
M10.2,UBA52,1782977,M10.2_UBA52,Protein synthesis,A9,1,A9.1
M10.2,UBB,2191428,M10.2_UBB,Protein synthesis,A9,1,A9.1
M10.3,ACRBP,1784203,M10.3_ACRBP,Platelet,A34,1,A34.1
M10.3,BMP6,1747650,M10.3_BMP6,Platelet,A34,1,A34.1
M10.3,CDC14B,2379560,M10.3_CDC14B,Platelet,A34,1,A34.1
M10.3,CLDN5,1728197,M10.3_CLDN5,Platelet,A34,1,A34.1
M10.3,CLEC1B,1745103,M10.3_CLEC1B,Platelet,A34,1,A34.1
M10.3,DAB2,1764228,M10.3_DAB2,Platelet,A34,1,A34.1
M10.3,FHL1,1805842,M10.3_FHL1,Platelet,A34,1,A34.1
M10.3,GP1BA,1753575,M10.3_GP1BA,Platelet,A34,1,A34.1
M10.3,GRAP2,1778143,M10.3_GRAP2,Platelet,A34,1,A34.1
M10.3,HS.25318,1837428,M10.3_HS.25318,Platelet,A34,1,A34.1
M10.3,MMD,1733937,M10.3_MMD,Platelet,A34,1,A34.1
M10.3,NAT8B,1691264,M10.3_NAT8B,Platelet,A34,1,A34.1
M10.3,PGRMC1,1684771,M10.3_PGRMC1,Platelet,A34,1,A34.1
M10.3,PTCRA,2091920,M10.3_PTCRA,Platelet,A34,1,A34.1
M10.3,RUFY1,2310968,M10.3_RUFY1,Platelet,A34,1,A34.1
